female	male	cross	genotype	ltf_trans	dtf_trans	ros_diam_trans	dry_mass_trans	Area_day21_trans	Perimeter_day21_trans	Area_day29_trans	Perimeter_day29_trans	Area_growth_trans	Perimeter_growth_trans
ICE29	ICE29	ICE29	PM001	2.38519076937628	1.82463550095826	63.7650313093791	-0.282550800340901	77.1788822234991	47.3028107363934	51.4458984983268	23.5199353572282	25.317763844686	14.3652063953432
ICE50	ICE50	ICE50	PM002	2.43008871652602	1.82163100211563	28.2701466593136	-1.11256544104905	74.2836696001537	43.677963560365	49.9352854218394	21.2418408043932	24.5424958144011	11.6041386212744
ICE63	ICE63	ICE63	PM004	2.4950723103779	1.82127224840877	57.0257066622824	-0.574575222197029	77.3532817321697	45.2790618588502	49.9884788958673	22.0132808762306	24.1887310938554	12.3244747882775
ICE72	ICE72	ICE72	PM005	2.45460034448641	1.82907982552003	56.2726856476801	-0.420046848006566	70.1857248460336	43.7491849553316	47.6484251416956	21.442354221717	23.3261128570475	11.9345334321936
ICE73	ICE73	ICE73	PM006	2.5661995411638	1.84974473338326	54.8921107454608	-0.277301462300965	73.2526849188554	43.9285905566769	46.5981034582158	20.9014111506097	22.1366492808119	10.8661788385136
ICE79	ICE79	ICE79	PM007	2.57406560431819	1.82505538421025	76.4421460067503	0.16024542104935	81.9561184414048	48.0556476283592	57.2862003069228	24.1590969333145	28.8500498202309	15.3243766618554
ICE92	ICE92	ICE92	PM008	2.52097834322237	1.79687917402348	75.5190859742251	-0.477650693123226	73.7343125236357	44.3997609243777	53.961403551065	23.8210704028518	27.2638661726539	15.4274729765812
ICE107	ICE107	ICE107	PM009	2.50998317997797	1.81726704874731	63.0871171417624	-0.215030869705633	72.403480755189	44.2904096296503	50.3935751171121	22.8016889740662	25.0309725358819	13.9572417462576
ICE111	ICE111	ICE111	PM010	2.72667725648297	1.84305903536688	83.9965546495357	0.83022533332919	76.7354005857609	46.0113411234525	54.0720730217731	23.8419497436997	27.1277580115793	15.1342130797555
ICE119	ICE119	ICE119	PM011	2.54431200693748	1.82235840360837	86.0631281318849	-0.25062370273218	68.9361156389366	41.8234860030485	50.0920963654691	22.500370687752	25.1005940260129	14.0275902808812
ICE150	ICE150	ICE150	PM012	2.40582153525686	1.80869173978964	65.1311798128981	-0.701467169259819	78.1293145751566	45.4667409547079	51.2823527475666	22.5741048386092	25.1079316122669	13.3243118342881
ICE181	ICE181	ICE181	PM013	2.63912146282979	1.84525061212148	53.9282378967545	-0.220633508844562	68.2069588833414	41.2590414530983	46.5291210060185	20.4457543399525	22.7226812256773	10.9168419245777
ICE212	ICE212	ICE212	PM014	2.38564954670075	1.82004566813555	51.9811228009572	-0.353001013005852	78.6538639703765	45.6942958001564	50.4344138512487	21.9931355135274	24.375289108054	12.2113008985276
ICE216	ICE216	ICE216	PM015	2.64653048706262	1.82534299237316	79.4772138998907	0.148532713319873	76.4098489808481	46.6869063516475	53.8702128106356	24.0795683105642	27.0188726737596	15.3698081311153
ICE228	ICE228	ICE228	PM016	2.53740219940859	1.79759379180037	71.6607886392838	-0.326666849078801	78.1682088896299	44.8960724675864	54.0567831672776	22.8854327211266	27.0211263185407	13.9392899798455
Cdm-0	Cdm-0	Cdm-0	PM018	2.46338671384599	1.81977701749234	118.701927461221	0.310647194144781	74.0967546547167	44.3611784618369	53.04196736178	23.8410092514864	26.6371359636268	15.4441630690503
Ey15-2	Ey15-2	Ey15-2	PM019	2.38959542943869	1.79981545247373	60.5523365812263	-0.950738590522257	67.9441728341444	41.39891787591	48.4107206556176	21.3895369823929	24.0575272470959	12.4296470575706
Fei-0	Fei-0	Fei-0	PM020	2.4508713063768	1.79332729577122	64.8781561387808	-0.414271768551203	79.0681449585933	47.6139780611409	54.3333937058769	24.0126037032778	27.1141522050544	15.0728287182058
HKT2.4	HKT2.4	HKT2.4	PM021	2.35522914130042	1.76923700200055	70.8775582570208	-0.604407242434181	78.8435324391512	45.8708884539038	53.3579149774886	23.3322288815677	26.5064932999814	14.4872971448655
Koch-1	Koch-1	Koch-1	PM022	2.54947121278247	1.79873521437591	74.049806294905	-0.543003973493038	72.6923797883054	42.8581855770359	52.6132537486693	22.3172134236054	26.4721281260625	13.5463221026209
Mer-6	Mer-6	Mer-6	PM023	2.56273738606143	1.8143017326587	103.656710101256	0.108284350769467	74.3897408714471	45.3639230930435	53.3104211582102	24.2253128176364	26.8008741883925	15.8406887632948
Nie1-2	Nie1-2	Nie1-2	PM024	2.19926326050153	1.75294896353684	65.6716820825784	-1.13828793741059	70.6831719618546	42.9562159811702	50.4453487667578	22.4327575868683	25.1852416895508	13.7555775707427
Qui-0	Qui-0	Qui-0	PM025	2.56714415987241	1.83223511030864	70.6719649071844	-0.325872133038171	64.1411219162722	40.7662251435829	46.0433796099739	21.8992047310968	22.7638553216759	13.4109587093626
Rue3-1-31	Rue3-1-31	Rue3-1-31	PM026	2.38937725359058	1.78724929603094	76.78375190464	-0.679460320420687	70.0789583447971	42.2800257590682	51.0936296313217	22.8956158805764	25.6683875709958	14.5104487772839
