"FID","Area_Day_21","Area_Day_21_.MPH.","Area_Day_29","Area_Day_29_.MPH.","Area_Growth","Area_Growth_.MPH.","DTF","LTF","LTF_.MPH.","Perimeter_Day_21_.MPH.","Perimeter_Day_29","Perimeter_Day_29_.MPH.","Perimeter_Growth","Perimeter_Growth_.MPH.","Rosette_Diameter","Rosette_Diameter_.MPH.","Rosette_Dry_Mass_.MPH."
"C001",77.4803,0.4284,52.3031,1.586,25.8931,1.1399,3.6068,2.5302,0.09,-0.552,22.7895,0.0229,13.6037,0.2588,71.7505,11.3551,0.0612
"C002",70.0266,-7.3114,46.4819,-3.0652,22.5082,-1.8137,3.629,2.4674,0.0475,-2.2682,21.4655,-1.0156,12.1369,-1.0129,59.4798,-0.539,-0.395
"C003",86.4012,13.6674,56.1731,1.807,27.7321,0.6482,3.633,2.5296,0.05,3.2277,24.3252,0.4857,14.7474,-0.0974,77.0776,6.9741,0.1051
"C004",76.5179,2.1226,55.0911,2.3875,27.7554,1.4646,3.57,2.4538,7e-04,0.5121,24.1763,0.5058,15.5596,0.6633,78.9131,9.271,-0.1501
"C005",64.7584,-20.0654,48.1686,-2.7511,24.1447,-1.0297,3.6444,2.454,0.0064,-5.7478,22.1175,-1.0434,13.8413,-0.32,81.2139,17.7878,0.0885
"C006",77.6647,0.0212,50.8141,-0.5501,24.7966,-0.4162,3.6084,2.5028,0.1073,0.409,22.5496,-0.4975,12.9063,-0.9385,59.5453,-4.9028,-0.1133
"C007",81.8055,7.7784,52.7801,1.8399,25.8087,0.9622,3.6042,2.4631,0.0777,1.5899,23.1369,0.3803,13.6647,0.3765,58.6608,0.7878,-0.4581
"C009",78.1968,5.118,53.4787,1.2348,26.6036,0.6261,3.6124,2.436,0.0117,1.6165,24.25,0.5695,15.4811,0.5764,81.4113,-9.8222,-0.3582
"C010",72.5183,-0.0864,51.7644,1.8361,25.9252,1.2376,3.5838,2.4716,0.0842,-0.425,22.9767,0.5219,14.2606,0.8632,86.9112,24.7526,0.1589
"C011",78.5969,1.1714,54.5546,2.1527,27.3146,1.4024,3.5842,2.5655,0.1953,0.0848,23.9902,0.5641,15.246,0.8197,92.7878,25.4665,0.2433
"C012",78.7776,5.9866,51.6206,-0.7576,25.2544,-0.805,3.5872,2.4989,0.025,1.6658,23.8113,-0.0613,14.6612,-0.4418,78.5725,-5.1383,-0.4371
