Rsquared,RsquaredSD,MAE,MAESD,RMSE,RMSESD,model,trait
0.308211889,0.050684491,0.081453928,0.004744543,0.107553683,0.005463503,lm,Leaf Total Area (LTF)
0.278569138,0.074287177,0.080882206,0.00558562,0.106690458,0.008394681,brnn,Leaf Total Area (LTF)
0.380886512,0.086438911,0.075718317,0.00474232,0.099226899,0.006773347,parRF,Leaf Total Area (LTF)
0.219652967,0.102390282,0.09493931,0.014736693,0.127472662,0.023082307,cubist,Leaf Total Area (LTF)
0.31231833,0.07342087,0.081347999,0.00550858,0.10676615,0.006917928,treebag,Leaf Total Area (LTF)
0.236401983,0.060207714,0.083200684,0.006352563,0.110332288,0.009514722,svmRadialSigma,Leaf Total Area (LTF)
0.263680627,0.061498182,0.084730723,0.006365804,0.110912152,0.008122937,svmLinear,Leaf Total Area (LTF)
0.262441491,0.058470818,0.017053881,0.001046684,0.021436077,0.001298585,lm,Days-to-flowering (DTF)
0.252493957,0.070478303,0.016813871,0.001039056,0.021114023,0.001248455,brnn,Days-to-flowering (DTF)
0.355421665,0.077884787,0.015863995,0.000871539,0.019758004,0.001051328,parRF,Days-to-flowering (DTF)
0.230905485,0.083540917,0.018530755,0.002023344,0.024003707,0.0030498,cubist,Days-to-flowering (DTF)
0.313252711,0.056068496,0.016025208,0.00131248,0.020317055,0.001347656,treebag,Days-to-flowering (DTF)
0.257954664,0.058966922,0.017331551,0.000695963,0.021589556,0.000738755,svmRadialSigma,Days-to-flowering (DTF)
0.252055053,0.092157433,0.017590064,0.001242063,0.022219364,0.001720548,svmLinear,Days-to-flowering (DTF)
0.511877948,0.049061798,9.418576611,0.464638259,11.67164451,0.659846008,lm,Rosette diameter
0.512122255,0.065224231,9.226974344,0.62985699,11.47897633,0.859032186,brnn,Rosette diameter
0.480332119,0.045190649,9.555800496,0.688021475,12.04875045,0.853627087,parRF,Rosette diameter
0.402356802,0.12424406,10.51164265,1.36058254,13.47960696,2.532975465,cubist,Rosette diameter
0.457199902,0.065716314,9.710693258,0.559134361,12.2948162,0.720071164,treebag,Rosette diameter
0.506484498,0.048714639,9.588722589,0.590152631,11.90511627,0.828032077,svmRadialSigma,Rosette diameter
0.507761332,0.07605668,9.599657333,0.509680335,11.87057928,0.68809744,svmLinear,Rosette diameter
0.511792251,0.055107996,0.242067733,0.01730067,0.301731026,0.018406623,lm,Rosette dry mass
0.480750979,0.05567582,0.241380055,0.013952355,0.301021684,0.014036589,brnn,Rosette dry mass
0.59263812,0.057498053,0.235294765,0.016789743,0.291577468,0.016393789,parRF,Rosette dry mass
0.417889919,0.123350871,0.261083678,0.037236654,0.351702295,0.067388852,cubist,Rosette dry mass
0.499318194,0.066863994,0.247387107,0.017637755,0.307297206,0.022934601,treebag,Rosette dry mass
0.495469092,0.063547512,0.253090146,0.013135675,0.309737089,0.013071205,svmRadialSigma,Rosette dry mass
0.467169404,0.076149712,0.247764126,0.015684391,0.311066511,0.01771447,svmLinear,Rosette dry mass
0.651794476,0.03938472,3.120592802,0.184500546,3.968084484,0.255130843,lm,Area (day 21)
0.650481986,0.054798,3.088909335,0.198098937,3.978003705,0.262812166,brnn,Area (day 21)
0.605798284,0.046792768,3.235041024,0.226948592,4.195750137,0.293998377,parRF,Area (day 21)
0.575061936,0.088231933,3.31568548,0.316479212,4.438779014,0.604154975,cubist,Area (day 21)
0.585355684,0.05772973,3.321608158,0.243971696,4.257357162,0.310867159,treebag,Area (day 21)
0.624732668,0.049912871,3.164037904,0.226719903,4.129543475,0.28852437,svmRadialSigma,Area (day 21)
0.642683015,0.04798348,3.102854283,0.227920993,4.030173194,0.264938621,svmLinear,Area (day 21)
0.603786407,0.044184678,1.633380961,0.093513168,2.060051804,0.120960861,lm,Perimeter (day 21)
0.599288416,0.054551469,1.614879684,0.097785555,2.068408441,0.121448192,brnn,Perimeter (day 21)
0.556222867,0.047941203,1.690655143,0.111161911,2.165684388,0.141016034,parRF,Perimeter (day 21)
0.451308407,0.096743448,1.916953711,0.242084871,2.586861626,0.408745977,cubist,Perimeter (day 21)
