Rsquared,RsquaredSD,MAE,MAESD,RMSE,RMSESD,model,trait
0.301397213,0.058042946,0.090674457,0.006763006,0.117949543,0.009349185,lm,Leaf Total Area (LTF)
0.272214358,0.05595134,0.084091983,0.006220288,0.112716459,0.008445505,parRF,Leaf Total Area (LTF)
0.189301711,0.084170165,0.096122958,0.007370465,0.128693608,0.010577878,cubist,Leaf Total Area (LTF)
0.463625904,0.071047729,0.015140059,0.001316068,0.019399403,0.001586211,lm,Days-to-flowering (DTF)
0.402771562,0.085219202,0.015567967,0.001205902,0.019871853,0.001550847,parRF,Days-to-flowering (DTF)
0.322227363,0.083745439,0.017365981,0.001547519,0.022387321,0.002028298,cubist,Days-to-flowering (DTF)
0.377471648,0.069167625,10.39031718,0.650019743,13.28970423,0.887589996,lm,Rosette diameter
0.375648155,0.055738234,10.00748814,0.686377861,12.94611258,0.990432224,parRF,Rosette diameter
0.315878564,0.062130066,10.69679018,0.762350442,13.83087563,1.097013722,cubist,Rosette diameter
0.353294759,0.07283604,0.288086837,0.017393835,0.359949578,0.019626703,lm,Rosette dry mass
0.360385544,0.053908545,0.282266596,0.016221412,0.345655504,0.017967834,parRF,Rosette dry mass
0.251658532,0.066404521,0.313995701,0.022063196,0.396192202,0.027362831,cubist,Rosette dry mass
0.132576321,0.051729289,4.997058933,0.405108902,6.427834713,0.492204771,lm,Area (day 21)
0.118740081,0.050434971,4.592383562,0.286657758,6.008467776,0.38365426,parRF,Area (day 21)
0.039195488,0.03239267,4.983781304,0.403144386,6.474454895,0.488649819,cubist,Area (day 21)
0.11080085,0.046384542,2.46868831,0.20536013,3.202701949,0.254256319,lm,Perimeter (day 21)
0.097613566,0.041683135,2.243782197,0.142757126,2.993752195,0.191895032,parRF,Perimeter (day 21)
0.029059297,0.02526428,2.489996626,0.180485035,3.286213961,0.251457784,cubist,Perimeter (day 21)
0.188324292,0.067663281,2.499337746,0.190879675,3.283311508,0.258325067,lm,Area (day 29)
0.154138497,0.042209018,2.421170452,0.117857583,3.146961824,0.18833479,parRF,Area (day 29)
0.046201391,0.038656957,2.756953029,0.238458478,3.600188913,0.298404368,cubist,Area (day 29)
0.247429609,0.066068713,0.92454109,0.06965794,1.208182425,0.104188916,lm,Perimeter (day 29)
0.199287741,0.033540953,0.905311145,0.058716779,1.193433428,0.091602273,parRF,Perimeter (day 29)
0.090663899,0.054453711,1.01860266,0.107229394,1.333457148,0.14388015,cubist,Perimeter (day 29)
0.221633561,0.069358015,1.35006884,0.097463394,1.777823225,0.14039002,lm,Area growth
0.173549772,0.04498042,1.342556342,0.063395573,1.728920917,0.103245515,parRF,Area growth
0.089825253,0.052671361,1.526783821,0.143520548,1.990277837,0.199642972,cubist,Area growth
0.343094975,0.065203642,1.033209066,0.07888582,1.351515096,0.109211526,lm,Perimeter growth
0.326271318,0.046197809,1.013531605,0.07501206,1.334396697,0.119119735,parRF,Perimeter growth
0.205252763,0.05024831,1.154776428,0.084526179,1.514744631,0.103586067,cubist,Perimeter growth
0.338242024,0.06421631,na,na,na,na,h2,Leaf Total Area (LTF)
0.479155432,0.070125074,na,na,na,na,h2,Days-to-flowering (DTF)
0.375894148,0.066200825,na,na,na,na,h2,Rosette diameter
0.36622916,0.066572953,na,na,na,na,h2,Rosette dry mass
0.07630075,0.024708583,na,na,na,na,h2,Area (day 21)
0.058238066,0.020741146,na,na,na,na,h2,Perimeter (day 21)
0.156585652,0.04013936,na,na,na,na,h2,Area (day 29)
0.192938114,0.046194472,na,na,na,na,h2,Perimeter (day 29)
0.196313952,0.046587674,na,na,na,na,h2,Area growth
0.288551743,0.058497007,na,na,na,na,h2,Perimeter growth
0.624333524,0.038126155,na,na,na,na,H2,Leaf Total Area (LTF)
0.783463629,0.02970839,na,na,na,na,H2,Days-to-flowering (DTF)
0.616342795,0.041984482,na,na,na,na,H2,Rosette diameter
0.686120166,0.03436565,na,na,na,na,H2,Rosette dry mass
0.268651505,0.027333414,na,na,na,na,H2,Area (day 21)
0.24915281,0.025606605,na,na,na,na,H2,Perimeter (day 21)
0.34281765,0.035512575,na,na,na,na,H2,Area (day 29)
0.386796052,0.038529875,na,na,na,na,H2,Perimeter (day 29)
0.380740286,0.039184945,na,na,na,na,H2,Area growth
0.478215141,0.04487586,na,na,na,na,H2,Perimeter growth
