female	male	cross	genotype	group	ltf_trans	dtf_trans	ros_diam_trans	dry_mass_trans	Area_day21_trans	Perimeter_day21_trans	Area_day29_trans	Perimeter_day29_trans	Area_growth_trans	Perimeter_growth_trans
ICE29	ICE63	ICE29 x ICE63	C001	14	2.53015882910145	1.8034079888416	71.7504951911739	-0.367362091527379	77.4803282436861	45.7389800926155	52.3031392999214	22.78949729118	25.8931450396094	13.6036579573586
ICE29	ICE72	ICE29 x ICE72	C002	14	2.46736144324511	1.81454985828459	59.4798486907869	-0.746315760329801	70.0266267848415	43.2577943381827	46.4819255666566	21.4654990520456	22.508218599763	12.1369218337359
ICE29	ICE79	ICE29 x ICE79	C003	14	2.52963923776558	1.81653775224775	77.0776483397014	0.043966942036744	86.401200295534	50.9069489144662	56.173082578793	24.3251950998548	27.7320645754801	14.7474366226112
ICE29	ICE92	ICE29 x ICE92	C004	14	2.45378040674088	1.78503579121038	78.9130615895745	-0.530162220890445	76.5179015078247	46.363376819042	55.091141721938	24.1763476812679	27.7553925389435	15.5596283598042
ICE29	ICE107	ICE29 x ICE107	C005	14	2.45395056398925	1.82220092944489	81.2139154115438	-0.160272245877567	64.758438400279	40.0488555350091	48.1686111145	22.1174529656708	24.1447000420093	13.8412722953781
ICE29	ICE150	ICE29 x ICE150	C006	14	2.50281936448356	1.80421423137668	59.5453077453449	-0.605356073782399	77.6647220235802	46.7937813008845	50.814052355986	22.5495569477123	24.796623029282	12.9063000042751
ICE29	ICE212	ICE29 x ICE212	C007	14	2.46311680071816	1.80214274023157	58.6608391222373	-0.77587810093529	81.8055249789172	48.0884299340621	52.7800823996742	23.1368685329772	25.8087444135667	13.6647346274396
ICE29	Bak-2	ICE29 x Bak-2	C008	14	2.88991945978529	1.86241896109456	56.3732114891055	0.47684208997049	82.4993531451155	49.8748128190677	53.8943776568833	24.5153763910848	26.5269396425514	15.3756596652396
ICE29	Cdm-0	ICE29 x Cdm-0	C009	14	2.43599737656125	1.80619723296932	81.4113092099863	-0.34416886289999	78.1968259906388	47.4485008868959	53.478689889301	24.2499870408879	26.6035855732181	15.4810662391973
ICE29	Ey15-2	ICE29 x Ey15-2	C010	14	2.47159772627041	1.79187893277687	86.9112394209703	-0.457710091566251	72.5183358640902	43.9259014542573	51.764392335973	22.9766744571206	25.9252419476317	14.2606325565217
ICE29	HKT2.4	ICE29 x HKT2.4	C011	14	2.5655216830463	1.79211523689458	92.7877553237253	-0.20014712103487	78.5969267253176	46.6716255848916	54.554599911556	23.9902162331628	27.3145650474538	15.2459504486823
ICE29	Mer-6	ICE29 x Mer-6	C012	14	2.49891551982253	1.79355680260637	78.5725320501822	-0.52427508529914	78.7775982866501	47.9991211823354	51.6205804301938	23.8112826871136	25.2543580597721	14.6611517942262
ICE29	Nie1-2	ICE29 x Nie1-2	C013	14	2.43269650776737	1.79130082875881	63.8814291802462	-0.717393743420314	72.3685355288723	44.1248989569156	50.8434383795887	22.7001548982379	25.3200557901956	13.8022788559251
ICE29	Qui-0	ICE29 x Qui-0	C014	14	2.61119789293748	1.81474127565398	76.6379949725796	-0.0388664512514201	78.0523059012034	47.4373318987201	51.7903028081827	23.6935538462049	25.4322567495029	14.5553358484088
ICE29	Sha	ICE29 x Sha	C015	14	2.43958117768643	1.7951320494443	50.2908347145708	-0.856514835931052	84.5233250362227	49.4940769320275	52.0944055746169	22.7529782280866	24.9633682252098	12.4136204993226
